w1 (rad/s),w2 (rad/s),w3 (rad/s),G3 (Pa),eta3 (Pa s3),J3 (Pa-3),phi3 (Pa-3 s-1),Subspace,"[R,G,B]"
0.8,-0.96,0.8,(-4.212091620296178-6.14677953901938j),(-10.004523989289353+6.85561787157581j),(1.2292611751815936e-05-6.747894833187446e-05j),(4.318652693239966e-05+7.8672715211622e-06j),D,"[0.0625, 2.7194799110210365e-16, 0.9375]"
0.96,-0.96,0.8,,,,,D,"[6.798699777552591e-17, 0.11764705882352944, 0.8823529411764703]"
1.44,-0.96,0.8,(-7.89520000928396-3.78635315847479j),(-3.4237134317805897+7.139033573209599j),(7.20477883911307e-06-3.156056520471587e-05j),(4.039752346203632e-05+9.222116914064729e-06j),C,"[0.15, 0.09999999999999998, 0.75]"
0.96,-0.96,0.96,,,,,D,"[0.0, 0.0, 1.0]"
1.44,-0.96,0.96,,,,,C,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
1.44,-0.96,1.44,(-11.318734653122048+0.5825944631430712j),(0.2926645603977137+5.6859320008690855j),(4.502948636947104e-06-2.2548111506359337e-05j),(4.3292374092209926e-05+8.64566138293844e-06j),B,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
0.8,-1.44,0.8,(-0.34303159721416665-7.854724104783151j),(-8.52292112064144+0.3722131046160662j),(5.320572443606198e-05-0.00020105617840442152j),(3.216898854470747e-05+8.512915909769924e-06j),D,"[0.21052631578947364, 0.0, 0.7894736842105262]"
0.96,-1.44,0.8,(-1.640945015063695-8.749962070199299j),(-7.911930402017597+1.4837827465492037j),(3.0152823295034664e-05-9.959958145952142e-05j),(3.187186606704686e-05+9.648903454411094e-06j),D,"[0.15, 0.09999999999999998, 0.75]"
1.44,-1.44,0.8,,,,,D,"[3.3993498887762956e-17, 0.3478260869565218, 0.6521739130434783]"
0.96,-1.44,0.96,(-3.9865927365079816-10.659964776926614j),(-8.032501429372992+3.0039791429367875j),(2.29687769678882e-05-7.569785107829042e-05j),(3.63349685175794e-05+1.1025012944586336e-05j),D,"[0.14285714285714282, 1.3597399555105182e-16, 0.857142857142857]"
1.44,-1.44,0.96,,,,,D,"[3.3993498887762956e-17, 0.24999999999999994, 0.7499999999999999]"
